Start,End,Date Time,Language,Survey Location,Include National,Community,Rurality,Gender,Organization,Position,Number of Org,Type. Human Rights,Type. Sexual and Gender Based Violence,Type.Health and Reproductive Rights,Type.Land,Type.Economic and Financial Services,Type.Agriculture,Type.Education,Type.Local Community Participation,Type.Other,Type.NA,Type.Describe Other,"Org Men, Women, or Both",WInfo.To be Treated Equally with All Others,Winfo.To be Free from Violence,WInfo.To be able to Join Groups,Winfo.Right to go Court if any Rights are Violated,Winfo.Right to Education,Winfo.Right_ to Own Property,Winfo.Right to Information,Winfo.Right to Work under Reasonable Hours,Info.National Government Office,Info.Local Government Office,Info.Local/Community NGOs,Info.Educational Institutions,Info.Places of Worship/Religious,Info.Traditional Leaders,Info.Village Elders,Info.Husband,Info.Other Family Members,Info.Friends,Info.Radio,Info.Television,Info.Newspaper,Info.Town Crier,Info.Internet/Cell Phone,Info.Other,Info.OtherExplain,"Seminal:Same F,E,RoS as men?",Seminal.Explain,WI.Women Interested in Info,WI.If not why,WI.National Gov Important,WI.Nat If not why,WI.Local Gov Important,WI.Local If not why,Issue.Don't Know Where to Ask,Issue. Fear of Asking,Issue.Domestic Duties,Issue.Getting to Public Offices (Distance),Issue.Family Nonsupportive,Issue.Confidence,Issue.Mindset of Gov Offical,Issue.Illiteracy,Issue.Women Ignored in Public,Issue.Language,Issue.Culturally Not Allowed,Issue.Safety Concerns,Issue.Information not Important to Women,Issue.Women Not Allowed in Public,Issue.Other,Barrier 1,Original Barrier 1,Barrier 2,Original Barrier 2,Barrier 3,Original Barrier 3,Possible Solutions,How Important.Rights,Rights.Freedom from Violence,Rights./Property Ownership/Land Rights,Rights.How the Justice System Works,Rights.Labor Law/Rights,Rights.Public Participation,Rights.Education,Rights.Marital.Family Rights,Rights.Health and Reproductive Rights,Rights.Freedom of Expression,Rights.Right to Information,Rights.Social Services,Rights.Anti-Discrimination,Rights.Please Explain,How important.Econ,Econ.Access to Banks,Econ.Vocational Training,Econ.Technology Training,Econ.Educational Opportunities,Econ.Job Opportunities,Econ.Land/Property Ownership,Econ.Scholarships,Econ.How to Start a Buisness,Econ.How to Get a Trade License,Econ.Social Development Funds,Econ.Please Explain,Original Most Important Info,Most Important Info,Original Second Important Info,Second Important Info,Original Third Important Info,Third Important Info,Tried.Have Tried to Get Info,Tried.Info Being Sought,Tried.Information Received,Tried.Recieved Ease,Heard of FOI,How Familiar with FOI Law,Anything Else,Enumerator Notes,Other Thoughts,_id,_submission_time,_date_modified
2023-01-23T10:46:55.533+00:00,2023-04-05T09:32:33.083-04:00,2023-01-23T06:27:00-05:00,Krio,Western Area,1,Beguema/ Grass field,Rural,Female,Tribal Chief Grass field,Tribal Chief,5000,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,n/a,Women,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Very,Not at all,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,n/a,No,I tried to contest for a position of chairperson in my constituency nobody ready to shear information with me,Yes,n/a,Yes,n/a,Yes,n/a,Small Barrier,Large Barrier,Large Barrier,Large Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Large Barrier,Small Barrier,Small Barrier,Small Barrier,Not a Barrier,n/a,Fear of Asking,Fear of asking/ fear reprisals for asking,Domestic Duties,"Domestic duties (mobility,cost, distance, safety)",Illiteracy,Illiteracy,"1. Awareness rasing engagement.
2. Capacity building for women led Organization",Very Important,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,This right Will build their economy strength and promote their rights,Very Important,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,It will improve the daily livelihood and promote economic empowerment,Vocational training/ Skills training,Vocational Training,Access to banks/ loan/ credit,Access to Banks,How to start a business/ SME,How to Start a Buisness,I Don't Know Anybody,n/a,n/a,n/a,yes,Familiar,Devolution of estate Act 2007,Interview went successful,n/a,108434755,2023-01-23T15:40:03,2023-04-05T13:32:33
2023-01-23T12:09:39.764+00:00,2023-04-05T09:34:14.738-04:00,2023-01-23T08:49:00-05:00,Krio,Western Area,1,Waterloo,Rural,Female,Women's Advocacy and Agricultural Development Organization (WAADO),Director,11_25,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,n/a,Both,Very,Very,Very,Very,Very,Very,Somewhat,Somewhat,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,n/a,No,Access to information has a ugh challenge based on the willingness of public officials,Yes,n/a,Yes,n/a,Yes,n/a,Large Barrier,Small Barrier,Large Barrier,Small Barrier,Small Barrier,Large Barrier,Large Barrier,Large Barrier,Small Barrier,Large Barrier,Small Barrier,Large Barrier,Small Barrier,Small Barrier,Money,Illiteracy,Illiteracy,Other,Money,Fear of Asking,Fear of asking,"Building women capacity
Civic education",Very Important,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,"Improve their economic strength, added value and widen the space of decision making",Very Important,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Improve their economy strength and promote their rights,Vocational training and skills training,Vocational Training,Access to banks loan and credit,Access to Banks,Educational opportunities,Education,A Woman I Know,A development program takes place in her community,No,n/a,yes,Familiar,Beuracracy,The respondent is hostile,n/a,108434757,2023-01-23T15:40:04,2023-04-05T13:34:15
2023-01-23T14:54:44.693Z,2023-01-23T15:39:41.418Z,2023-01-23T15:15:00.000Z,Krio,Western Area,1,New London Manor Koya,Rural,Female,Community based Human Right Organization ,Programs Manager ,1_10,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,n/a,Both,Somewhat,Very,Somewhat,Very,Very,Very,Somewhat,Not at all,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,n/a,No,Turn down women appointment/Reschedule their appointment ,Yes,n/a,Yes,n/a,Yes,n/a,Small Barrier,Large Barrier,Large Barrier,Large Barrier,Small Barrier,Small Barrier,Small Barrier,Large Barrier,Small Barrier,Large Barrier,Large Barrier,Large Barrier,Large Barrier,Not a Barrier,Economic burden ,Confidence,Confidence to ask Government information self esteem ,Illiteracy,Illiteracy ,Economic Empowerment,Economic burden ,"Capacity building
adhereance the full implementation of access to information Law",Very Important,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"1. If women know how the justice system works they will forward more cases of violation to the judiciary.
2. If the number of women capacity built-in it will increase the human capital ",Important,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1. These three will improve their economic strength and promote their rights.
2. Enable to become self reliant.",Access to banks/Loan/Credit ,Access to Banks,Educational opportunities ,Education,Vocational training and skills training ,Vocational Training,Myself,Budget allocation for Free health care and Agriculture allocated for District ,Yes,Somewhat Difficult,yes,Somewhat Familiar,Women access to information still poses immense challenges ,Successfully completed ,n/a,108434759,2023-01-23T15:40:04,2023-01-23T15:40:04
2023-01-23T17:38:42.140Z,2023-01-23T18:19:16.778Z,2023-01-23T15:48:00.000Z,Krio,Port Loko,1,Falaba community ,Urban,Male,Falaba community ,Youth leader ,500_2000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,n/a,Both,Not at all,Not at all,Somewhat,Not at all,n/a,Somewhat,Not at all,Not at all,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,n/a,Yes,Because it constitutional right,Yes,n/a,Yes,n/a,Yes,n/a,Small Barrier,Small Barrier,Large Barrier,Large Barrier,Small Barrier,Large Barrier,Small Barrier,Large Barrier,Small Barrier,Large Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Self defite ,n/a,2,n/a,2,n/a,3,"Awareness raising , Basic Education for all women's in sierra leone about there right and responsibilities,break cultural barriers that will stop women's from taking active part in getting public information that is meant for all Citizens ",Very Important,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Right to access information meant for public ,Important,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Information is power ,Access to loans ,Access to Banks,Land rights and property ,Property Ownership/Land Rights,How to start Business ,How to Start a Buisness,A Woman I Know,About school feeding program ,Yes,Somewhat Difficult,yes,Familiar,Information regarding  women's is power and it constitutional rights ,n/a,http://classic.ona.io/api/v1/files/31441690?filename=michaelbaldassaro/attachments/720081_ajTs6aMLWorCFeFPANFNYZ/1674497949780.m4a,108439480,2023-01-23T18:20:04,2023-01-23T18:20:04
2023-01-24T08:38:00.798Z,2023-01-24T16:14:51.039Z,2023-01-24T08:58:00.000Z,Krio,Western Area,1,31 Findley Street,Rural,Male,Waterloo,Headman,5000,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,n/a,Both,Somewhat,Somewhat,Somewhat,Somewhat,Very,Very,Somewhat,Somewhat,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,n/a,No,Women were not prevailed and some other domestic duties,Yes,n/a,Yes,n/a,Yes,n/a,Small Barrier,Large Barrier,Large Barrier,Small Barrier,Small Barrier,Small Barrier,Large Barrier,Large Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Not a Barrier,"Economic strength.. Not financially strong
Time limited",Illiteracy,Illiteracy,Domestic Duties,Domestic duties,Mindset of Gov Offical,Mindset of Government officials,Building women capacity in both academic and traditional,Very Important,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Make women be dignified and safe by being able to access information.
They will be able to contribute to development",Very Important,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Enable them to be self independent and able to manage any project implementation,Educational opportunities,Education,Vocational training Skills training,Vocational Training,n/a,n/a,I Don't Know Anybody,n/a,n/a,n/a,yes,Familiar,I would like the government to simplify Access to information Law and popularized,Interview went successful,n/a,108488110,2023-01-24T16:16:06,2023-01-24T16:16:06
2023-01-24T09:22:10.194Z,2023-01-24T16:13:50.484Z,2023-01-24T09:42:00.000Z,Krio,Western Area,1,Waterloo... 26 Findley Street,Rural,Female,District lead for sowie,Head of Sowie,500_2000,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,n/a,Women,Somewhat,Somewhat,Somewhat,Somewhat,Very,Not at all,Somewhat,Not at all,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,n/a,No,Self esteem,Yes,n/a,Yes,n/a,Yes,n/a,Large Barrier,Large Barrier,Large Barrier,Large Barrier,Small Barrier,Small Barrier,Small Barrier,Large Barrier,Large Barrier,Small Barrier,Small Barrier,Small Barrier,Large Barrier,Small Barrier,n/a,Illiteracy,Illiteracy,Domestic Duties,Domestic duties children Care,Fear of Asking,Fear for asking,Educate more women and organize community awarness raising for women,Very Important,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,Degnify women's position in society and it will strengthen our right,Very Important,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Help to be self reliance,Educational opportunities,Education,Access to banks loan credit,Access to Banks,How to start a business SME,How to Start a Buisness,Myself,Nurses practice genital mutilation and I asked whether they have right to do the practice,Did Not Understand the Question,n/a,no,n/a,Women involvement and participation in planning and decision making is a must,n/a,n/a,108488111,2023-01-24T16:16:07,2023-01-24T16:16:07
2023-01-24T10:54:56.387Z,2023-01-24T16:12:40.806Z,2023-01-24T11:15:00.000Z,Krio,Western Area,1,Market Square Waterloo,Rural,Female,Market Square Community,Chairlady Petty Traders,2000_5000,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,n/a,Both,Very,Very,Very,Somewhat,Somewhat,Not at all,Very,Not at all,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,n/a,No,Don't have time for information,Yes,n/a,Yes,n/a,Yes,n/a,Small Barrier,Small Barrier,Large Barrier,Large Barrier,Small Barrier,Large Barrier,Small Barrier,Small Barrier,Not a Barrier,Large Barrier,Small Barrier,Small Barrier,Not a Barrier,Don't Know,n/a,Domestic Duties,Domestic duties children Care,Illiteracy,Illiteracy,Fear of Asking,Fear for asking,"Provide civic education meetings
Family motivation",Very Important,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1. It provides the enabling environment for women to improve on their economy empowerment and promote right,Very Important,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Improve their knowledge on business strategy and make them become self reliance,Educational opportunities,Education,Vocational training and skills training,Vocational Training,Access banks/Loan/Credit,Access to Banks,Myself,"Space for the market, since they collect market dues",Did Not Understand the Question,n/a,yes,Somewhat Familiar,Council information should be popularized to the public to specific with development and financial statements,Interview went successful,n/a,108488112,2023-01-24T16:16:07,2023-01-24T16:16:07
2023-01-24T12:03:18.643Z,2023-01-24T16:09:23.190Z,2023-01-24T12:43:00.000Z,Krio,Western Area,1,Beguema Baracks,Rural,Female,Beguema training Baracks,Mammy Queen,2000_5000,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,n/a,Both,Somewhat,Very,Very,Somewhat,Very,Very,Very,Very,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,n/a,Yes,Women have more patients than men. e.g during the war women were used to getting information than men,Yes,n/a,Yes,n/a,Yes,n/a,Small Barrier,Small Barrier,Large Barrier,Small Barrier,Small Barrier,Large Barrier,Large Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Large Barrier,Small Barrier,n/a,Mindset of Gov Offical,Mindset of Government officials,Domestic Duties,Domestic duties children Care,Confidence,Confidence to ask Government information self esteem,Building women capacity and improving their knowledge and  Government officials willingness to provide information,Very Important,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,It will cut down dependency syndrome and help promote and protect their rights,Very Important,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,To improve our economic strength and enable us to be self reliance,Access to banks/ Loan/Credit,Access to Banks,Vocational training and skills training,Vocational Training,Educational opportunities,Education,I Don't Know Anybody,n/a,n/a,n/a,no,n/a,"Less domestic duties children Care 
Government create the enabling environment for women to access information",Interview went successful,n/a,108488113,2023-01-24T16:16:08,2023-01-24T16:16:08
2023-01-24T13:37:40.780Z,2023-01-24T16:04:29.478Z,2023-01-24T14:17:00.000Z,Krio,Western Area,1,555 Spot New London,Rural,Male,Western Area Rural District,District Secretary,2000_5000,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,Passenger rights and their responsibility,Both,Very,Very,Not at all,Somewhat,Somewhat,Somewhat,Very,Somewhat,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,n/a,Yes,Through links based on womanwood ,Yes,n/a,Yes,n/a,Yes,n/a,Small Barrier,Large Barrier,Don't Know,Small Barrier,Not a Barrier,Large Barrier,Small Barrier,Large Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Large Barrier,Small Barrier,Trust of how they interpret information,Illiteracy,Illiteracy,Confidence,Confidence to ask Government information self esteem,Fear of Asking,Fear of asking,"Building women capacity
Building their confidence 
The government provides the enabling environment for women",Very Important,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"They feel self esteem, reliance and belong",Very Important,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,It will break all barriers that affect their economic empowerment,Educational opportunities,Education,Vocational training/skills training,Vocational Training,How to start a business SME,How to Start a Buisness,I Don't Know Anybody,n/a,n/a,n/a,yes,Not Familiar,Improve on massive Civic education,Interview successful,n/a,108488115,2023-01-24T16:16:09,2023-01-24T16:16:09
2023-01-25T10:18:55.909Z,2023-01-25T17:09:18.615Z,2023-01-25T10:59:00.000Z,Krio,Western Area,1,Lumpa 555 Spot,Rural,Male,Bike Riders Union,Chairman,2000_5000,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,n/a,Both,Very,Very,Somewhat,Somewhat,Very,Somewhat,Very,Somewhat,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,n/a,Yes,Women are more attractive to get information than men,Yes,n/a,n/a,n/a,Yes,n/a,Small Barrier,Large Barrier,Large Barrier,Small Barrier,Large Barrier,Small Barrier,Large Barrier,Large Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Not a Barrier,n/a,Domestic Duties,Domestic duties children Care ,Illiteracy,Illiteracy,Mindset of Gov Offical,Mindset of Government officials,"Building women capacity.
Economic empowerment",Very Important,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,All these rights make them well informed this will help them to shape the law and use the law,Very Important,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,It strengthens the women's capacity on how to empower economic growth,Educational opportunities,Education,Vocational training and skills training,Vocational Training,Access to banks loan credit,Access to Banks,I Don't Know Anybody,n/a,n/a,n/a,no,n/a,Men should encourage women at all levels of governance to access information,Interview successful,n/a,108536447,2023-01-25T17:09:31,2023-01-25T17:09:31
