Start,End,Date Time,Survey Location,Include National,,Community,Rurality,Expert Type,Expert Type.other,Gender,Expert Title,Name of Organization,Type.Human Rights,Type.Sexual and Gender Based Violence,Type.Health and Reproductive Rights,Type.Land,Type.Economic and Financial Services,Type.Agriculture,Type.Education,Type.Local Community Participation,Type.Other,Type.NA,Type.Describe Other,WInfo.To be Treated Equally with All Others,Winfo.To be Free from Violence,WInfo.To be able to Join Groups,Winfo.Right to go Court if any Rights are Violated,Winfo.Right to Education,Winfo.Right_ to Own Property,Winfo.Right to Information,Winfo.Right to Work under Reasonable Hours,"Seminal:Same F,E,RoS as men?",Seminal.Explain,Women Interested in Information,Women Interested in Information.why,Women Interested National Gov,Women Interested National Gov.why,Women Interested Local Gov,Women Interested Local Gov.why,Info.National Government Office,Info.Local Government Office,Info.Local/Community NGOs,Info.Educational Institutions,Info.Places of Worship/Religious,Info.Traditional Leaders,Info.Village Elders,Info.Husband,Info.Other Family Members,Info.Friends,Info.Radio,Info.Television,Info.Newspaper,Info.Town Crier,Info.Internet/Cell Phone,Info.Other,Info.OtherExplain,Issue.Don't Know Where to Ask,Issue.Fear of Asking,Issue.Domestic Duties,Issue.Getting to Public Offices (Distance),Issue.Family Nonsupportive,Issue.Confidence,Issue.Mindset of Gov Offical,Issue.Illiteracy,Issue.Women Ignored in Public,Issue.Language,Issue.Culturally Not Allowed,Issue.Safety Concerns,Issue.Information not Important to Women,Issue.Women Not Allowed in Public,Issue.Other,Issue.Other Explain ,Original Barrier 1,Barrier 1,Original Barrier 2,Barrier 2,Original Barrier 3,Barrier 3,Possible Solutions,"Consequence of less awareness for women
",How Important.Rights,Rights.Freedom from Violence,Rights./Property Ownership/Land Rights,Rights.How the Justice System Works,Rights.Labor Law/Rights,Rights.Public Participation,Rights.Education,Rights.Marital.Family Rights,Rights.Health and Reproductive Rights,Rights.Freedom of Expression,Rights.Right to Information,Rights.Social Services,Rights.Anti-Discrimination,Rights.Please Explain,How important.Econ,Econ.Access to Banks,Econ.Vocational Training,Econ.Technology Training,Econ.Educational Opportunities,Econ.Job Opportunities,Econ.Land/Property Ownership,Econ.Scholarships,Econ.How to Start a Buisness,Econ.How to Get a Trade License,Econ.Social Development Funds,Econ.Please Explain,Original Most Important,Most Important,Original Second Most Important,Second Most Important,Original Third Most Important,Third Most Important,Anything Else,Enumerator Notes,Other Thoughts,__version__,meta/instanceID,_id,_uuid,_submission_time,_date_modified,_tags
2023-02-09T13:01:19.153Z,2023-03-02T12:38:12.428Z,2023-02-09T10:11:00.000Z,Freetown,0,0.00833178,Brookfields,Urban,Government Official,n/a,Female,Senior Agriculture Officer,Ministry of Agriculture and Forestry,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,n/a,Somewhat,Somewhat,Not at all,Very,Very,Somewhat,Somewhat,Somewhat,No,Women are not really exposed to information and unable to access it.,Yes,n/a,Yes,n/a,Yes,n/a,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,n/a,Large Barrier,Large Barrier,Large Barrier,Large Barrier,Large Barrier,Large Barrier,Large Barrier,Large Barrier,Large Barrier,Large Barrier,Large Barrier,Large Barrier,Large Barrier,Large Barrier,n/a,Yes,Fear of asking  for information,Fear of Asking,Domestic Duties,Domestic Duties,Getting to public offices,Getting to Public Offices (Distance),"Promoting women to position of the same qualifications as men, capacity building and women empowerment.",Underdevelopment and illiteracy.,Very Important,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"If women are empowered from all of the above, will feel protected and inclusive.",Important,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,All of the above will be able to help women live a better life.,Access to Banks,Access to Banks,Educational opportunities,Education,How to start a business,How to Start a Buisness,"Women should be considered in all sphere of life to enhance their economic status base on them accessing information at an easy rate, frequency and success as men.","The respondents including this, from the ministry of Agriculture were afraid of giving their names and phone numbers to be recorded because of lack of confidence, though we explained to them that it will not be published.",n/a,vzDogTF4K4rZB6rUJRhmkz,uuid:88e64027-8f70-4531-9400-1278a232d879,110046384,88e64027-8f70-4531-9400-1278a232d879,2023-03-02T12:39:27,2023-03-02T12:39:27,
2023-02-09T11:35:34.338Z,2023-03-02T12:27:16.701Z,2023-02-09T11:50:00.000Z,Freetown,0,0.054034721,Brookfields,Urban,Government Official,n/a,Female,Trade Officer,Ministry of Agriculture and Forestry,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,n/a,Somewhat,Not at all,Somewhat,Very,Somewhat,Somewhat,Very,Very,No,Because they do not allow easily for women to access any information. They think men should always be on top of any situation.,Yes,n/a,Yes,n/a,Yes,n/a,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,n/a,Not a Barrier,Small Barrier,Not a Barrier,Not a Barrier,Not a Barrier,Small Barrier,Small Barrier,Not a Barrier,Small Barrier,Not a Barrier,Large Barrier,Small Barrier,Small Barrier,Not a Barrier,n/a,n/a,Domestic duties,Domestic Duties,Illiteracy,Illiteracy,Confidence to ask Government for information/self esteem.,Confidence,Government should give priority to women in any organization and they should also advocate for more job institution to grow.,"Due to fear, mostly some women do not have time to check or care about anything. This will leads to more domestic violence against them.",Important,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Women should access all this right because they should feel secure secure in any other places and will help them to grow.,Very Important,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"To inspire other women not to feel insecure of themselves to achieve their goals, all the information are valuable.",Access to Banks,Access to Banks,How to get a trade license.,How to Get a Trade License,Social development funds.,Social Development Funds,Women should be encouraged and educated about their rights and benefits in accessing it.,Women should be encouraged to head top offices .,n/a,vzDogTF4K4rZB6rUJRhmkz,uuid:08fa8895-6f0b-45a2-8ca8-4aab5013cfe6,110046374,08fa8895-6f0b-45a2-8ca8-4aab5013cfe6,2023-03-02T12:39:22,2023-03-02T12:39:22,
2023-02-14T11:38:42.274Z,2023-03-02T13:07:18.582Z,2023-02-14T10:40:00.000Z,Freetown,0,0.064963465,New England Ville,Urban,Government Official,n/a,Female,Senior Procurement Officer,Ministry of Social Welfare,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,n/a,Very,Very,Very,Very,Very,Very,Very,Very,Yes,No woman is discriminated in any office.,Yes,n/a,Yes,n/a,Yes,n/a,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,n/a,Small Barrier,Small Barrier,Large Barrier,Small Barrier,Small Barrier,Large Barrier,Small Barrier,Large Barrier,Not a Barrier,Large Barrier,Small Barrier,Small Barrier,Not a Barrier,Not a Barrier,No other barrier,Yes,Illiteracy,Illiteracy,Language of documents,Language,Confidence to ask for information,Confidence,"Education, translation of documents and confidence building programs in women should be organized for women .",It will leads to wrong information to the public.,Important,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,They are all valuable,Very Important,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,These can help in women empowerment and hence enhance their economic positively.,Access to Banks/loans,Access to Banks,How to start a business,How to Start a Buisness,Social development funds.,Social Development Funds,No,Little confrontation was encountered at the starting.,n/a,vzDogTF4K4rZB6rUJRhmkz,uuid:2d92fa62-ee12-4c0d-b665-63b1cafd4e91,110048576,2d92fa62-ee12-4c0d-b665-63b1cafd4e91,2023-03-02T13:10:49,2023-03-02T13:10:49,
2023-02-09T13:04:54.301Z,2023-03-02T12:47:11.174Z,2023-02-09T10:15:00.000Z,Freetown,0,0.10966076,Brookfields,Urban,Government Official,n/a,Male,Office assistant,Ministry of Agriculture and Forestry,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,n/a,Very,Somewhat,Very,Somewhat,Somewhat,Somewhat,Not at all,Very,Yes,"We all access it the same way, infact most times they are given more priority.",Yes,n/a,Yes,n/a,Yes,n/a,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,n/a,Not a Barrier,Small Barrier,Large Barrier,Large Barrier,Small Barrier,Large Barrier,Small Barrier,Large Barrier,Not a Barrier,Large Barrier,Small Barrier,Small Barrier,Not a Barrier,Not a Barrier,No,Yes,Illiteracy,Illiteracy,Domestic Duties,Domestic Duties,Confidence to ask Government for information.,Confidence,"Women should planned themselves in executing domestic Duties, also the men should help their women in some household works. Women should also develop the confidence of going to government offices to access information. All the above will more work when a woman is educated.",Gender base violence against them.,Very Important,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,They all work for the right of women.,Very Important,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,They can help them get money,Access to Bank and loans,Access to Banks,Education Opportunities,Education,Scholarships,Scholarships,It is good for women to access information to improve on their rights,The attitude of the respondent was too bad in giving the information.,n/a,vzDogTF4K4rZB6rUJRhmkz,uuid:0e226411-dbdd-4ac1-a3e6-ab52fe2bba98,110048546,0e226411-dbdd-4ac1-a3e6-ab52fe2bba98,2023-03-02T13:10:02,2023-03-02T13:10:02,
2023-02-14T11:37:43.695Z,2023-03-02T13:06:55.182Z,2023-02-14T12:57:00.000Z,Freetown,0,0.162932644,New England Ville,Urban,Government Official,n/a,Female,Executive Secretary,Ministry of Social Welfare,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Family Welfare, Human Trafficking and Disability issues.",Not at all,Not at all,Very,Very,Not at all,Not at all,Not at all,Not at all,Yes,Women have no barrier in accessing information from any organization or Government office.,Yes,n/a,Yes,n/a,Yes,n/a,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,n/a,Large Barrier,Large Barrier,Large Barrier,Large Barrier,Large Barrier,Small Barrier,Large Barrier,Large Barrier,Large Barrier,Large Barrier,Large Barrier,Small Barrier,Small Barrier,Small Barrier,No other,Yes,Domestic Duties,Domestic Duties,Confidence to ask Government for information,Confidence,Mindset of government officials,Mindset of Gov Offical,"Education should be provided at ease for every woman, as the saying goes, when you educate a woman you educate the whole nation.",Poor participation in public dialogues.,Important,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,All of them are important,Very Important,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,They all are important for women empowerment economically.,Access to Banks/loans,Access to Banks,Job opportunities,Job Opportunities,How to start a business,How to Start a Buisness,"It is good for every woman to be accessing information, as it is their rights.","Due to the too many questions composed on this questionnaire, many felt bored during the interview.",n/a,vzDogTF4K4rZB6rUJRhmkz,uuid:9f633b63-08ac-4758-992b-fb331ca3e7cb,110048574,9f633b63-08ac-4758-992b-fb331ca3e7cb,2023-03-02T13:10:48,2023-03-02T13:10:48,
2023-01-30T12:25:57.224Z,2023-01-30T20:21:30.242Z,2023-01-30T13:26:00.000Z,Freetown,0,0.177447026,Soldier Street,Urban,NGO/International Community,n/a,Male,Executive Director,Institute for Drug Control and Human Security,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Drug prevention, counseling and referrer for treatment and rehabilitation of people who use drug",Very,Very,Very,Very,Very,Very,Very,Very,Yes,"Either men or women, all have equal access to information.",No,We are CSO and our constituents are mostly People who use drug,Yes,n/a,Yes,n/a,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,n/a,Small Barrier,Small Barrier,Small Barrier,Not a Barrier,Not a Barrier,Not a Barrier,Not a Barrier,Don't Know,Small Barrier,Not a Barrier,Not a Barrier,Small Barrier,Small Barrier,Not a Barrier,Politicians deciding the country along regional and tribal lines is a large barrier.,Tribal politics,Tribal politics,Culturally Not Allowed,Region politics,Culturally Not Allowed,Politicians interest,Other,Tribalism in politics should be criminalized,They will be less impowered,Very Important,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Those right will make them feel empowered and see themselves equal to men,Very Important,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,They will be self employed and self sufficient,Job,Job Opportunities,Small business skills,How to Start a Buisness,Access to land,Access to Banks,Laws should be made and enforce against any culture or tradition deny women access to information,Non,n/a,vzDogTF4K4rZB6rUJRhmkz,uuid:c23b15ea-da8c-4d05-b50b-297ca89a3203,108712813,c23b15ea-da8c-4d05-b50b-297ca89a3203,2023-01-30T20:22:16,2023-01-30T20:22:16,
2023-02-14T10:30:58.620Z,2023-03-02T13:06:30.324Z,2023-02-14T12:11:00.000Z,Freetown,0,0.238148604,New England Ville,Urban,Government Official,n/a,Female,Senior Social Worker,Ministry of Social Welfare,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,n/a,Very,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,No,Some women are being discriminated or advantaged because they are women.,Yes,n/a,Yes,n/a,Yes,n/a,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,n/a,Large Barrier,Large Barrier,Small Barrier,Small Barrier,Large Barrier,Small Barrier,Not a Barrier,Large Barrier,Small Barrier,Large Barrier,Large Barrier,Not a Barrier,Not a Barrier,Not a Barrier,No other barrier,Yes,Don't know how/where to ask for information,Don't Know Where to Ask,Fear of asking,Fear of Asking,Illiteracy,Illiteracy,"Inclusive education, Sensitization/awareness campaign, and boost confidence in women through engagements, radio programs etc.",They will always face challenges with regards domestic violence and other forms of abuse against women.,Important,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,For women to access their rights and be free of all forms of abuse.,Very Important,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,For women's self confidence building and economic empowerment.,Educational opportunities,Education,Job opportunities,Job Opportunities,Access to Bank loans,Access to Banks,Self sufficiency eradicates financial constrains.,"The attitude of staffs in this interview towards us was very bad, some even left in the mid of the interview.",n/a,vzDogTF4K4rZB6rUJRhmkz,uuid:376dac28-96d6-44d4-855a-706867f857b9,110048573,376dac28-96d6-44d4-855a-706867f857b9,2023-03-02T13:10:46,2023-03-02T13:10:46,
2023-01-30T13:28:11.433Z,2023-01-30T20:21:45.806Z,2023-01-30T14:48:00.000Z,Freetown,0,0.247805114,FSU -CID Headquarters,Urban,Government Official,n/a,Male,Inspector,Sierra Leone Police,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,n/a,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Very,No,Educated women are in the minority so the uneducated are afraid to ask for access to this information and even if they ask the educated men will create a bottleneck in providing such information to them with consideration of our cultural and societal belief.,Yes,n/a,Yes,n/a,Yes,n/a,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,n/a,Large Barrier,Small Barrier,Small Barrier,Not a Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Not a Barrier,Not a Barrier,Not a Barrier,Not a Barrier,Small Barrier,Not a Barrier,n/a,The high rate of illiteracy with our women in Sierra Leone backed with the cultural beliefs system and the awareness of the place to get the right information are the key barriers.,Most of the time they don't know where to get access to the appropriate information.,Don't Know Where to Ask,"Because of the high rate of illiteracy with women in Sierra Leone, they lack the self esteem to ask for the required information they need.",Illiteracy,Our cultural beliefs also play a key role in why our women are afraid to ask for information.,Culturally Not Allowed,"Capacity building for our women, awareness raising on access to information and bringing the information base closer to the communities.",It will continue to put them behind the scenes and they will be seen as drop out for which they will not be in the capacity to capacitate their children and as a result will have negative impact on the country as a whole.,Very Important,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,All of these rights are very important and if only our women will know them and what to do if someone violates them  then we will be a progressive nation as we all partners in development.,Very Important,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Economic empowerment for our women will help the family more than the men as women pay more attention to their kids and if empowered financially, the kids will be safe and educated for which the nation will be alleviated out of poverty.",Educational opportunities,Education,Social development funds/ Project opportunities.,Scholarships,Job opportunities,Job Opportunities,They need the access to information now.,n/a,n/a,vzDogTF4K4rZB6rUJRhmkz,uuid:2aa252ce-35e2-46d0-ae38-47b1afa82825,108712814,2aa252ce-35e2-46d0-ae38-47b1afa82825,2023-01-30T20:22:17,2023-01-30T20:22:17,
2023-02-14T11:40:56.443Z,2023-03-02T13:08:05.250Z,2023-02-14T14:23:00.000Z,Freetown,0,0.275356265,New England Ville,Urban,Government Official,n/a,Female,Internal Audit Assistant,Ministry of Social Welfare,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"Human Trafficking issues, disability concerns, Family Welfare.",Not at all,Not at all,Very,Very,Not at all,Not at all,Not at all,Not at all,No,Limited resources,Yes,n/a,Yes,n/a,Yes,n/a,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,n/a,Large Barrier,Large Barrier,Large Barrier,Large Barrier,Small Barrier,Large Barrier,Large Barrier,Large Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,No,Yes,Domestic Duties,Domestic Duties,Confidence to ask Government for information,Confidence,Illiteracy,Illiteracy,Men should be assisting their women in some of the house Duties. Also Government should embark on campaigning to encourage women to go to public offices and ask for information because it's their rights.,Increase in violence against women.,Important,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Because they are all important to women.,Very Important,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,They are all dealing with income generation that help women to be economically viable.,Access to Banks for loans,Access to Banks,Scholarships,Scholarships,Social development funds.,Social Development Funds,"Women  are afraid to ask critical questions in government offices because they lack self confidence. Access to information, it's important should be preached to women .",It is good that this survey is being conducted because there is no other means to have known or get this vital information from this respondent.,n/a,vzDogTF4K4rZB6rUJRhmkz,uuid:7ab31d47-fb0f-44b8-8aa9-c10c4a2a6d2f,110048578,7ab31d47-fb0f-44b8-8aa9-c10c4a2a6d2f,2023-03-02T13:10:54,2023-03-02T13:10:54,
2023-01-21T22:06:35.261Z,2023-01-30T19:01:03.373Z,2023-01-24T16:07:00.000Z,Port Loko,1,0.297801167,Rotifunk Road,Urban,Academic Professor,n/a,Male,Lectures EBK campus port Loko, EBKUST.University,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,n/a,Not at all,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Yes,According to the constitution of sierra leone is a right for all Citizens to have access to information partaining public,Yes,n/a,Yes,n/a,Yes,n/a,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,n/a,Small Barrier,Small Barrier,Large Barrier,Large Barrier,Small Barrier,Small Barrier,Small Barrier,Large Barrier,Not a Barrier,Large Barrier,Large Barrier,Small Barrier,Small Barrier,Not a Barrier,Women's Not supportive to each other,EDUCATION ,Fear,Fear of Asking,No self confidence,Confidence,Culture,Culturally Not Allowed,Right to access information should be included in school/University curriculum to further encourage More women's to access information partaining public and for the benefit of sierra leone ,Slow improvement,Very Important,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Education is key to access information and when you are up there no body will disadvantage you at all times ,Very Important,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Self confidence,Education,Education,How to start Business,How to Start a Buisness,Access to loans,Access to Banks,It constitutional right,Women's should be included in all decision making ,n/a,vzDogTF4K4rZB6rUJRhmkz,uuid:f7fb93f9-26c3-4f92-a9b2-2c142a4b7efa,108855835,f7fb93f9-26c3-4f92-a9b2-2c142a4b7efa,2023-02-02T16:27:15,2023-02-02T16:27:15,
